Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,X90sPlayed,Goals,Ast,xG,xA,SoT.,Sh.90,SoT.90,CmpPass,CmpPass.,PPA,Prog,Touches,SuccDrib,SuccDrib.,Carries,CarryToBox,SCA,GCA,GCADrib,GCASh
Jesse Lingard,ENG,MFFW,West Ham,Premier League,27,1992,16,16,1421,15.8,0.57,0.25,0.32,0.09,50,2.53,1.27,34.4,81.3,1.65,4.11,53.8,1.33,42.9,39.7,1.01,3.86,0.7,0,0.13
Pablo Sarabia,ESP,FWMF,Paris S-G,Ligue 1,28,1992,27,13,1320,14.7,0.41,0.27,0.33,0.37,50,2.45,1.23,33.5,76.9,2.04,4.15,53.7,0.75,50,38.6,0.95,3.33,0.48,0.07,0.07
Marcus Rashford,ENG,FW,Manchester Utd,Premier League,22,1997,37,33,2920,32.4,0.34,0.28,0.29,0.11,45.6,2.43,1.11,30.7,80.6,1.73,2.96,50.6,2.72,53.7,39,1.88,3.24,0.56,0.06,0
Stephan El Shaarawy,ITA,FWMF,Roma,Seria A,27,1992,10,6,572,6.4,0.16,0.16,0.2,0.23,43.8,2.52,1.1,29.1,77.5,0.94,1.41,48.3,1.41,50,37.8,1.88,4.84,0.16,0,0
Philipp Förster,GER,FWMF,Stuttgart,Bundesliga,25,1995,25,17,1509,16.8,0.18,0.06,0.25,0.15,55,1.19,0.66,33.6,79.1,1.85,5.48,53.3,0.89,48.4,38.2,0.77,3.45,0.3,0,0
Vincenzo Grifo,ITA,MFFW,Freiburg,Bundesliga,27,1993,31,27,2313,25.7,0.35,0.39,0.31,0.24,43.6,2.14,0.93,33,74.5,1.4,4.59,54.7,1.36,52.2,37.4,0.82,4.63,0.7,0,0.04
Marco Reus,GER,MFFW,Dortmund,Bundesliga,31,1989,32,27,2279,25.3,0.32,0.24,0.4,0.32,44.4,2.13,0.95,36.1,79.8,1.7,3.99,56.4,1.62,54.7,40,0.75,3.64,0.47,0,0.04
Serge Gnabry,GER,FWMF,Bayern Munich,Bundesliga,25,1995,27,20,1644,18.3,0.55,0.11,0.44,0.25,45.8,3.23,1.48,36.6,78.1,2.3,3.66,60.7,1.97,54.5,44.6,1.91,4.32,0.6,0,0
Nicolas Pépé,CIV,FW,Arsenal,Premier League,25,1995,29,16,1616,18,0.56,0.06,0.39,0.05,41.7,2.67,1.11,28.3,75.7,0.94,2.22,51.6,1.72,39.7,38.7,1.72,2.06,0.5,0.11,0.11
Nicola Sansone,ITA,FWMF,Bologna,Seria A,28,1991,26,11,1169,13,0.15,0.15,0.29,0.18,41.9,2.39,1,31.5,77,1.08,3.38,57.7,2,56.5,43.7,1.38,4.15,0.23,0,0
Christian Pulisic,USA,FWMF,Chelsea,Premier League,21,1998,27,18,1738,19.3,0.21,0.1,0.28,0.15,37.2,2.23,0.83,28.6,80,2.07,3.42,52.3,2.38,48.9,40.1,1.4,3.47,0.41,0,0.05
João Félix,POR,FWMF,Atlético Madrid,La Liga,20,1999,31,14,1572,17.5,0.4,0.29,0.29,0.22,38.9,2.06,0.8,32.3,83.4,1.2,4.29,51.8,1.94,51.5,41.5,0.46,2.63,0.57,0.06,0.06
Adil Aouchiche,FRA,MFFW,Saint-Étienne,Ligue 1,18,2002,34,21,1731,19.2,0.1,0.26,0.17,0.27,44.4,1.4,0.62,30.9,71.8,1.41,3.07,55.4,1.72,53.2,37.4,0.68,5.1,0.71,0.05,0.2
Salih Özcan,GER,MFFW,Köln,Bundesliga,22,1998,28,15,1371,15.2,0,0.07,0.04,0.05,45.5,0.72,0.33,36.8,80.5,0.2,2.57,57.9,0.46,43.8,35.8,0.07,1.58,0.2,0,0
Mohamed Salah,EGY,FW,Liverpool,Premier League,28,1992,37,34,3078,34.2,0.64,0.15,0.61,0.18,38.3,3.51,1.35,31.3,83.2,2.16,4.01,51.4,1.46,51,40,1.58,3.42,0.41,0,0.06
Naomichi Ueda,JPN,DF,Nîmes,Ligue 1,25,1994,9,8,711,7.9,0,0,0.01,0.06,50,0.25,0.13,35.2,80.1,0.51,2.66,54.2,0.13,50,34.7,0,0.89,0,0,0
Moussa Diaby,FRA,FWMF,Leverkusen,Bundesliga,21,1999,32,28,2388,26.5,0.15,0.42,0.21,0.26,49,1.92,0.94,27.2,76.1,1.58,2.08,47.2,2.15,46.7,39.6,1.85,10,5,0,5
Joaquín Correa,ARG,FW,Lazio,Seria A,25,1994,28,25,1933,21.5,0.37,0.14,0.39,0.09,40.7,2.51,1.02,27.7,82.2,0.93,2.47,48.1,1.53,46.5,37.1,0.74,3.01,0.6,0.15,0
Raheem Sterling,ENG,FW,Manchester City,Premier League,25,1994,31,28,2536,28.2,0.35,0.25,0.43,0.17,41.8,2.38,0.99,34.1,85.4,1.03,2.2,52.4,2.45,55.2,45,2.2,3.55,0.53,0.11,0.07
Yannick Carrasco,BEL,DFMF,Atlético Madrid,La Liga,26,1993,30,25,2179,24.2,0.25,0.41,0.25,0.23,58.1,1.78,1.03,32.2,74.3,1.74,3.8,57.1,2.56,52.5,42.3,2.07,1.41,0.27,0,0
Kai Havertz,GER,MFFW,Chelsea,Premier League,21,1999,27,18,1520,16.9,0.24,0.18,0.37,0.09,42.9,2.07,0.89,39,86.1,1.12,2.49,58.9,1.3,47.8,43.1,0.95,2.78,0.47,0,0.06
Hannes Wolf,AUT,MFFW,M'Gladbach,Bundesliga,21,1999,32,14,1378,15.3,0.2,0.13,0.13,0.18,43.8,1.04,0.46,28,76.3,0.85,3.01,49.6,1.24,52.8,35.8,0.98,2.16,0.52,0,0
Kévin Zohi,MLI,FWMF,Strasbourg,Ligue 1,23,1996,23,2,436,4.8,0.42,0,0.25,0.02,53.3,3.1,1.65,29.6,76.3,1.25,3.54,54,3.13,57.7,39.8,1.46,1.88,0,0,0
Jeong Woo-yeong,KOR,FWMF,Freiburg,Bundesliga,20,1999,26,7,823,9.1,0.44,0,0.19,0.16,46.2,1.42,0.66,31.1,75.7,2.09,4.84,53.7,1.21,57.9,38.7,0.77,2.97,0.11,0,0
Ayoze Pérez,ESP,MFFW,Leicester City,Premier League,27,1993,25,15,1331,14.8,0.14,0.07,0.22,0.08,41.9,2.1,0.88,25.8,76.6,1.82,3.65,49.7,1.82,49.1,35,0.2,3.24,0.41,0.07,0
Amer Gojak,BIH,MFFW,Torino,Seria A,23,1997,15,6,475,5.3,0.19,0.19,0.15,0.06,37.5,1.52,0.57,35.1,74.1,0.75,1.89,58.1,1.13,50,42.5,0.19,2.64,0.38,0,0.19
Mehdi Zerkane,ALG,MFFW,Bordeaux,Ligue 1,21,1999,27,15,1187,13.2,0.08,0.08,0.14,0.09,46.7,1.14,0.53,36.4,84.5,0.38,2.35,55.2,1.82,57.1,43.2,0.3,2.35,0.3,0,0.08
Gelson Martins,POR,MFFW,Monaco,Ligue 1,25,1995,23,20,1551,17.2,0.17,0.12,0.16,0.16,42.3,1.51,0.64,30.6,83.4,1.16,2.5,52.7,2.5,58.1,44.5,1.05,2.62,0.47,0.06,0.06
Fabio Carvalho,ENG,MFFW,Fulham,Premier League,17,2002,4,3,255,2.8,0.36,0,0.39,0.14,44.4,3.18,1.41,23.9,77.9,0.71,1.79,48.9,2.14,50,34.3,1.43,1.7,0.47,0,0.09
Amine Gouiri,FRA,FWMF,Nice,Ligue 1,20,2000,34,31,2747,30.5,0.39,0.23,0.46,0.17,38.7,2.46,0.95,28.9,76,1.28,2.62,51,1.74,50.5,35.1,1.18,3.97,0.46,0.03,0.07
Junior Sambia,FRA,DFMF,Montpellier,Ligue 1,23,1996,36,26,2448,27.2,0.04,0.22,0.04,0.09,42.1,0.7,0.29,38.1,78.9,1.43,4.71,61.2,1.51,48.8,37.2,0.4,2.39,0.48,0,0
Lukáš Haraslín,SVK,FWMF,Sassuolo,Seria A,24,1996,14,2,333,3.7,0,0,0.24,0.24,41.7,3.24,1.35,27,70.4,2.16,3.24,54.6,1.89,53.8,38.1,1.35,4.59,0.81,0,0
Marc Albrighton,ENG,DFFW,Leicester City,Premier League,30,1989,31,17,1746,19.4,0.05,0.26,0.07,0.23,42.9,1.08,0.46,32.7,68.8,2.16,4.48,59,1.55,50,38.9,0.41,0.4,0.06,0,0
Josip Brekalo,CRO,FW,Wolfsburg,Bundesliga,22,1998,29,22,1814,20.2,0.35,0.15,0.18,0.17,44.7,2.33,1.04,31.6,75.3,1.34,4.16,54,1.29,57.8,37.6,0.94,0,0,0,0
Yusuf Yazıcı,TUR,FWMF,Lille,Ligue 1,23,1997,32,10,1086,12.1,0.58,0.33,0.46,0.34,44.4,3.73,1.66,29.3,67.7,1.57,4.13,55.6,1.16,45.2,35.8,0.08,5.04,0.58,0.08,0
Maxence Rivera,FRA,MFFW,Saint-Étienne,Ligue 1,18,2002,17,1,239,2.7,0,0,0.04,0.04,50,0.75,0.38,30.4,74.5,0.37,3.33,61.5,1.85,35.7,41.5,0.37,1.85,0,0,0
Lars Stindl,GER,MFFW,M'Gladbach,Bundesliga,31,1988,30,23,1961,21.8,0.64,0.37,0.46,0.26,44.9,2.25,1.01,39.4,82,0.96,3.99,59.9,0.28,42.9,35.9,0.28,3.49,0.55,0,0.14
Duván Zapata,COL,FW,Atalanta,Seria A,29,1991,37,29,2379,26.4,0.57,0.34,0.58,0.25,38.8,3.71,1.44,23.6,76.7,0.95,1.29,48.3,1.52,44,37.5,2.05,3.75,0.61,0,0
Jimmy Cabot,FRA,FWMF,Angers,Ligue 1,26,1994,22,8,942,10.5,0.1,0.1,0.11,0.12,40,0.96,0.38,30.4,74.5,0.95,2.67,55.5,3.62,57.6,42.8,0.57,0,0,0,0
Fidel,ESP,MFDF,Elche,La Liga,30,1989,30,28,2396,26.6,0.23,0.11,0.15,0.19,43.8,0.6,0.26,34.2,73.7,0.86,3.05,57.5,1.8,57.8,38.7,0.68,2.71,0.23,0,0
Yeremi Pino,ESP,FWMF,Villarreal,La Liga,17,2002,24,6,797,8.9,0.34,0.11,0.17,0.1,35.7,1.58,0.56,27.9,79.2,1.24,3.26,51,2.36,51.2,38.4,1.8,2.58,0.22,0.11,0
Jérôme Hergault,FRA,DF,Lorient,Ligue 1,34,1986,22,19,1625,18.1,0.11,0,0.02,0.01,50,0.22,0.11,38,77.8,0.33,3.65,60.6,0.61,44,34.3,0.06,0.77,0.06,0,0
Adam Marušić,MNE,DF,Lazio,Seria A,27,1992,36,33,2966,33,0.06,0.09,0.06,0.07,44.4,0.82,0.36,41,83.5,0.85,2.73,57.9,0.82,50,36.8,0.3,1.76,0.18,0,0.03
Bruno Peres,BRA,DF,Roma,Seria A,30,1990,30,14,1427,15.9,0.06,0.13,0.08,0.26,50,0.76,0.38,39.8,83,1.13,2.58,56.8,0.88,56,38.6,0.88,2.64,0.25,0,0
Gastón Pereiro,URU,MFFW,Cagliari,Seria A,25,1995,15,2,272,3,0.67,0.67,0.57,0.23,35.7,4.63,1.65,34.7,75.4,2.33,6,60.3,1.33,50,41,0.33,4.67,0.67,0,0.33
Josan,ESP,MFDF,Elche,La Liga,30,1989,33,24,1926,21.4,0.19,0.09,0.08,0.07,53.3,0.7,0.37,28.4,74.9,0.7,2.24,49.4,1.87,53.3,33.5,0.51,1.4,0.14,0,0
Christopher Nkunku,FRA,FWMF,RB Leipzig,Bundesliga,22,1997,28,19,1892,21,0.29,0.29,0.37,0.36,46.4,2.66,1.24,37.5,77.8,1.95,3.67,62.2,1.67,58.3,42.4,1.19,6.19,0.76,0.1,0.05
Yann Gboho,FRA,MFFW,Rennes,Ligue 1,19,2001,10,2,303,3.4,0,0,0.26,0.06,33.3,2.67,0.89,26.8,75.8,1.76,3.82,53.5,3.24,50,44.7,1.47,4.41,0,0,0
Jeremie Boga,CIV,FWMF,Sassuolo,Seria A,23,1997,27,20,1785,19.8,0.2,0.1,0.18,0.06,45.5,1.66,0.76,34.6,88.5,0.86,2.17,52.8,4.19,57.2,46.7,1.21,0.71,0,0,0
Marcos Llorente,ESP,MFDF,Atlético Madrid,La Liga,25,1995,37,33,2956,32.8,0.37,0.34,0.13,0.16,44.9,1.49,0.67,33.7,82.5,1.16,3.02,52.8,1.16,60.3,39.4,0.67,2.29,0.46,0,0
Bukayo Saka,ENG,FWDF,Arsenal,Premier League,18,2001,32,30,2553,28.4,0.18,0.11,0.24,0.17,34.4,2.15,0.74,30.5,74.9,1.02,2.25,54.7,1.48,52.5,39.3,1.3,3.45,0.42,0.04,0
Ángel Correa,ARG,FWMF,Atlético Madrid,La Liga,25,1995,38,29,2393,26.6,0.34,0.3,0.29,0.21,43.4,1.99,0.87,26.5,77.6,1.32,2.59,47.4,2.03,56.8,36.1,0.86,2.06,0.48,0,0.04
Valentin Eysseric,FRA,MFFW,Fiorentina,Seria A,28,1992,16,6,729,8.1,0.25,0,0.27,0.06,38.5,1.6,0.62,32.6,74.2,1.11,3.58,55.4,0.49,36.4,38.5,0.37,1.98,0.25,0,0.12
Ansu Fati,ESP,FW,Barcelona,La Liga,17,2002,7,6,431,4.8,0.83,0,0.38,0.29,50,2.92,1.46,36.3,84.9,1.46,2.29,57.9,3.13,60,47.9,3.33,3.96,0.42,0.21,0
