Player,Nation,Pos,Squad,Comp,Age,SimilarityScore
Jesse Lingard,ENG,MFFW,West Ham,Premier League,27,91.61554414
Pablo Sarabia,ESP,FWMF,Paris S-G,Ligue 1,28,91.41995921
Marcus Rashford,ENG,FW,Manchester Utd,Premier League,22,89.62821134
Stephan El Shaarawy,ITA,FWMF,Roma,Seria A,27,88.92905605
Philipp Förster,GER,FWMF,Stuttgart,Bundesliga,25,88.76201086
Vincenzo Grifo,ITA,MFFW,Freiburg,Bundesliga,27,88.41831187
Marco Reus,GER,MFFW,Dortmund,Bundesliga,31,88.08186256
Serge Gnabry,GER,FWMF,Bayern Munich,Bundesliga,25,87.96576135
Nicolas Pépé,CIV,FW,Arsenal,Premier League,25,87.74924084
Nicola Sansone,ITA,FWMF,Bologna,Seria A,28,87.47581939
Christian Pulisic,USA,FWMF,Chelsea,Premier League,21,87.38428361
João Félix,POR,FWMF,Atlético Madrid,La Liga,20,87.1940873
Adil Aouchiche,FRA,MFFW,Saint-Étienne,Ligue 1,18,87.17031957
Salih Özcan,GER,MFFW,Köln,Bundesliga,22,86.98343363
Mohamed Salah,EGY,FW,Liverpool,Premier League,28,86.90890761
Naomichi Ueda,JPN,DF,Nîmes,Ligue 1,25,86.90643288
Moussa Diaby,FRA,FWMF,Leverkusen,Bundesliga,21,86.66874725
Joaquín Correa,ARG,FW,Lazio,Seria A,25,86.65322511
Raheem Sterling,ENG,FW,Manchester City,Premier League,25,86.58760275
Yannick Carrasco,BEL,DFMF,Atlético Madrid,La Liga,26,86.47048042
Kai Havertz,GER,MFFW,Chelsea,Premier League,21,86.44090711
Hannes Wolf,AUT,MFFW,M'Gladbach,Bundesliga,21,86.39773916
Kévin Zohi,MLI,FWMF,Strasbourg,Ligue 1,23,86.32571391
Jeong Woo-yeong,KOR,FWMF,Freiburg,Bundesliga,20,86.07816463
Ayoze Pérez,ESP,MFFW,Leicester City,Premier League,27,86.02755927
Amer Gojak,BIH,MFFW,Torino,Seria A,23,85.97443762
Mehdi Zerkane,ALG,MFFW,Bordeaux,Ligue 1,21,85.81845213
Gelson Martins,POR,MFFW,Monaco,Ligue 1,25,85.69252992
Fabio Carvalho,ENG,MFFW,Fulham,Premier League,17,85.44617576
Amine Gouiri,FRA,FWMF,Nice,Ligue 1,20,85.37124749
Junior Sambia,FRA,DFMF,Montpellier,Ligue 1,23,85.35847344
Lukáš Haraslín,SVK,FWMF,Sassuolo,Seria A,24,85.27554415
Marc Albrighton,ENG,DFFW,Leicester City,Premier League,30,85.10964742
Josip Brekalo,CRO,FW,Wolfsburg,Bundesliga,22,85.10279892
Yusuf Yazıcı,TUR,FWMF,Lille,Ligue 1,23,85.09862087
Maxence Rivera,FRA,MFFW,Saint-Étienne,Ligue 1,18,85.09814441
Lars Stindl,GER,MFFW,M'Gladbach,Bundesliga,31,84.9792843
Duván Zapata,COL,FW,Atalanta,Seria A,29,84.64676256
Jimmy Cabot,FRA,FWMF,Angers,Ligue 1,26,84.58275316
Fidel,ESP,MFDF,Elche,La Liga,30,84.54399146
Yeremi Pino,ESP,FWMF,Villarreal,La Liga,17,84.53461284
Jérôme Hergault,FRA,DF,Lorient,Ligue 1,34,84.48875247
Adam Marušić,MNE,DF,Lazio,Seria A,27,84.28357547
Bruno Peres,BRA,DF,Roma,Seria A,30,84.1258386
Gastón Pereiro,URU,MFFW,Cagliari,Seria A,25,83.99667847
Josan,ESP,MFDF,Elche,La Liga,30,83.89837586
Christopher Nkunku,FRA,FWMF,RB Leipzig,Bundesliga,22,83.88863134
Yann Gboho,FRA,MFFW,Rennes,Ligue 1,19,83.8263084
Jeremie Boga,CIV,FWMF,Sassuolo,Seria A,23,83.78560824
Marcos Llorente,ESP,MFDF,Atlético Madrid,La Liga,25,83.6895279
Bukayo Saka,ENG,FWDF,Arsenal,Premier League,18,83.64734884
Ángel Correa,ARG,FWMF,Atlético Madrid,La Liga,25,83.43514262
Valentin Eysseric,FRA,MFFW,Fiorentina,Seria A,28,83.39953916
Ansu Fati,ESP,FW,Barcelona,La Liga,17,83.23757476
Farid El Melali,ALG,FWMF,Angers,Ligue 1,23,83.18321969
Diogo Jota,POR,FW,Liverpool,Premier League,23,83.1246363
Ander Capa,ESP,DF,Athletic Club,La Liga,28,83.08336617
Leon Bailey,JAM,FWMF,Leverkusen,Bundesliga,22,83.02249724
Musa Barrow,GAM,FWMF,Bologna,Seria A,21,83.01684953
Fabián Orellana,CHI,MFFW,Valladolid,La Liga,34,83.01296082
Malick Thiaw,GER,DF,Schalke 04,Bundesliga,18,82.98148361
Aboubakar Kamara,MTN,FWMF,Dijon,Ligue 1,25,82.95903759
Kévin Rodrigues,POR,MFDF,Eibar,La Liga,26,82.93574789
Andreas Skov Olsen,DEN,FWDF,Bologna,Seria A,20,82.92949327
Alexis Claude-Maurice,FRA,MFFW,Nice,Ligue 1,22,82.90992978
Pablo Maffeo,ESP,DF,Huesca,La Liga,23,82.88180208
Gaetano Letizia,ITA,DF,Benevento,Seria A,30,82.85787061
Gareth Bale,WAL,FW,Tottenham,Premier League,31,82.85172603
Rony Lopes,POR,FWMF,Nice,Ligue 1,24,82.75450204
Mathew Leckie,AUS,FWDF,Hertha BSC,Bundesliga,29,82.62098104
Phil Foden,ENG,FWMF,Manchester City,Premier League,20,82.58092138
Thorgan Hazard,BEL,FWMF,Dortmund,Bundesliga,27,82.5023573
Valerio Verre,ITA,MF,Sampdoria,Seria A,26,82.49480363
Fabian Schär,SUI,DF,Newcastle Utd,Premier League,28,82.48273709
Gerard Deulofeu,ESP,FWMF,Udinese,Seria A,26,82.41188185
Carles Pérez,ESP,FWMF,Roma,Seria A,22,82.39407202
Ainsley Maitland-Niles,ENG,DF,Arsenal,Premier League,22,82.37730157
Mërgim Vojvoda,KVX,DF,Torino,Seria A,25,82.34242939
Matteo Pessina,ITA,MF,Atalanta,Seria A,23,82.28894978
Karol Linetty,POL,MF,Torino,Seria A,25,82.25258329
Lennart-Marten Czyborra,GER,DF,Genoa,Seria A,21,82.19342537
Joaquín,ESP,FWMF,Betis,La Liga,39,82.09755045
Sebastian Rudy,GER,MFDF,Hoffenheim,Bundesliga,30,82.03481144
Rodrigo Palacio,ARG,FW,Bologna,Seria A,38,81.97776651
Ricardo Pereira,POR,DF,Leicester City,Premier League,26,81.96880758
Luis Muriel,COL,FW,Atalanta,Seria A,29,81.93843307
Cristian Tello,ESP,FWMF,Betis,La Liga,28,81.90268252
Raphael Dias Belloli,BRA,MF,Leeds United,Premier League,23,81.89324435
Mason Greenwood,ENG,FW,Manchester Utd,Premier League,18,81.85326751
Mattéo Guendouzi,FRA,MF,Hertha BSC,Bundesliga,21,81.8531821
Ben Osborn,ENG,MFDF,Sheffield Utd,Premier League,25,81.76596315
Enis Bardhi,MKD,MFFW,Levante,La Liga,25,81.71538898
Toni Villa,ESP,MFFW,Valladolid,La Liga,25,81.66446347
Vincent Le Goff,FRA,DF,Lorient,Ligue 1,30,81.64080612
Thomas Delaine,FRA,DF,Metz,Ligue 1,28,81.64015523
Riyad Mahrez,ALG,FW,Manchester City,Premier League,29,81.61776945
Adrien Thomasson,FRA,MF,Strasbourg,Ligue 1,26,81.55838944
Jaime Seoane,ESP,MF,Huesca,La Liga,23,81.53380386
Brais Méndez,ESP,MFFW,Celta Vigo,La Liga,23,81.51836858
Santiago Ascacíbar,ARG,MF,Hertha BSC,Bundesliga,23,81.49976216
Nolito,ESP,MFFW,Celta Vigo,La Liga,33,81.46132961
Moi Gómez,ESP,MFFW,Villarreal,La Liga,26,81.39431538
Augusto Solari,ARG,MF,Celta Vigo,La Liga,28,81.30189314
Robert Glatzel,GER,FW,Mainz 05,Bundesliga,26,81.26258289
Sadio Mané,SEN,FW,Liverpool,Premier League,28,81.25253617
Henrikh Mkhitaryan,ARM,FWMF,Roma,Seria A,31,81.22933938
Ridle Baku,GER,FWDF,Wolfsburg,Bundesliga,22,81.17915252
Matheus Pereira,BRA,MFFW,West Brom,Premier League,24,81.12513576
Jonas Hofmann,GER,FWMF,M'Gladbach,Bundesliga,28,81.12280476
Nahitan Nández,URU,MFDF,Cagliari,Seria A,24,81.09005553
Pablo Hervías,ESP,DFMF,Valladolid,La Liga,27,81.04629588
Gaetano Castrovilli,ITA,MF,Fiorentina,Seria A,23,81.04471578
Lorenzo Pellegrini,ITA,MFFW,Roma,Seria A,24,81.04085972
Ryan Sessegnon,ENG,DF,Hoffenheim,Bundesliga,20,80.97943219
Christoph Baumgartner,AUT,MFFW,Hoffenheim,Bundesliga,20,80.91986373
Lucas Moura,BRA,FWMF,Tottenham,Premier League,27,80.89080588
Andrés Tello,COL,MFDF,Benevento,Seria A,23,80.86809732
Sofiane Diop,FRA,MFFW,Monaco,Ligue 1,20,80.86806596
Daniel Podence,POR,MFFW,Wolves,Premier League,24,80.86015674
Piotr Zieliński,POL,MF,Napoli,Seria A,26,80.82387943
Bryan,ESP,MFFW,Eibar,La Liga,19,80.75608927
Lucas Paquetá,BRA,MF,Lyon,Ligue 1,22,80.75416149
Jonathan Clauss,FRA,DF,Lens,Ligue 1,27,80.74996623
Hirving Lozano,MEX,FW,Napoli,Seria A,25,80.70927166
Franck Ribéry,FRA,FW,Fiorentina,Seria A,37,80.68631055
Romain Hamouma,FRA,FW,Saint-Étienne,Ligue 1,33,80.65440619
Leroy Sané,GER,FWMF,Bayern Munich,Bundesliga,24,80.60615046
Samuel Chukwueze,NGA,MFFW,Villarreal,La Liga,21,80.60349
Memphis Depay,NED,FW,Lyon,Ligue 1,26,80.5987887
Vinicius Júnior,BRA,FW,Real Madrid,La Liga,20,80.59696416
Federico Chiesa,ITA,DF,Fiorentina,Seria A,22,80.47272933
Weston McKennie,USA,MF,Juventus,Seria A,21,80.43350057
Dele Alli,ENG,MF,Tottenham,Premier League,24,80.29693171
Séamus Coleman,IRL,DFMF,Everton,Premier League,31,80.29021563
Gio Reyna,USA,FWMF,Dortmund,Bundesliga,17,80.24371492
Hicham Boudaoui,ALG,MFFW,Nice,Ligue 1,20,80.1765669
Cristian Ansaldi,ARG,DF,Torino,Seria A,33,80.12253537
Nathan Redmond,ENG,MFFW,Southampton,Premier League,26,80.07921186
Senad Lulić,BIH,DFMF,Lazio,Seria A,34,80.05739485
Mattia De Sciglio,ITA,DF,Juventus,Seria A,27,80.0514186
Toma Bašić,CRO,MF,Bordeaux,Ligue 1,23,80.04565962
Aymen Barkok,MAR,MFFW,Eint Frankfurt,Bundesliga,22,80.0399023
Jordan Ayew,GHA,FWMF,Crystal Palace,Premier League,28,80.0280697
Cristián Zapata,COL,DF,Genoa,Seria A,33,79.91842885
Sofiane Boufal,MAR,FWMF,Angers,Ligue 1,26,79.84008929
Leandro Trossard,BEL,FWMF,Brighton,Premier League,25,79.83537751
Pedro Neto,POR,FWMF,Wolves,Premier League,20,79.82465862
Alfonso Pedraza,ESP,DF,Villarreal,La Liga,24,79.82287186
Achraf Hakimi,MAR,DF,Inter,Seria A,21,79.79661662
Hans Hateboer,NED,DF,Atalanta,Seria A,26,79.7005271
Harvey Barnes,ENG,FWMF,Leicester City,Premier League,22,79.61641592
Martín Merquelanz,ESP,FWMF,Real Sociedad,La Liga,25,79.60783729
Abdoul Kader Bamba,FRA,FWMF,Nantes,Ligue 1,26,79.60321839
Aitor Ruibal,ESP,FWMF,Betis,La Liga,24,79.45658256
Jonathan Bamba,FRA,MF,Lille,Ligue 1,24,79.333982
Adrián Cubas,PAR,MF,Nîmes,Ligue 1,24,79.3204473
Mikel Oyarzabal,ESP,FWMF,Real Sociedad,La Liga,23,79.30508517
Zinedine Ferhat,ALG,FWMF,Nîmes,Ligue 1,27,79.24873739
Ferrán Torres,ESP,FWMF,Manchester City,Premier League,20,79.24230745
Stefano Sturaro,ITA,MF,Hellas Verona,Seria A,27,79.18293489
Răzvan Marin,ROU,MF,Cagliari,Seria A,24,79.15676848
Conor Townsend,ENG,DF,West Brom,Premier League,27,79.13473461
Kelechi Iheanacho,NGA,FW,Leicester City,Premier League,23,79.12296237
Tariq Lamptey,ENG,DF,Brighton,Premier League,19,79.10683126
Federico Bernardeschi,ITA,DFMF,Juventus,Seria A,26,79.09112868
Darko Lazović,SRB,DF,Hellas Verona,Seria A,29,79.08099907
Florian Miguel,FRA,DF,Nîmes,Ligue 1,23,79.0489332
Isaac Lihadji,FRA,MFDF,Lille,Ligue 1,18,79.00940687
Koffi Djidji,CIV,DF,Crotone,Seria A,27,78.99595753
Amadou Traore,FRA,MFFW,Bordeaux,Ligue 1,18,78.97839683
Gastón Ramírez,URU,MFFW,Sampdoria,Seria A,29,78.93591683
Florent Mollet,FRA,MF,Montpellier,Ligue 1,28,78.91504565
Ansgar Knauff,GER,FWMF,Dortmund,Bundesliga,18,78.90720976
Miguel Almirón,PAR,MFFW,Newcastle Utd,Premier League,26,78.89587955
Bram Nuytinck,NED,DF,Udinese,Seria A,30,78.85745994
Pervis Estupiñán,ECU,DF,Villarreal,La Liga,22,78.84604765
Serge Aurier,CIV,DF,Tottenham,Premier League,27,78.83393282
Daniele Verde,ITA,FW,Spezia,Seria A,24,78.82354846
Moanes Dabour,ISR,FW,Hoffenheim,Bundesliga,28,78.81364354
Ruben Vargas,SUI,MFFW,Augsburg,Bundesliga,21,78.80768536
Jamal Musiala,GER,FWMF,Bayern Munich,Bundesliga,17,78.77017899
Charles Traore,MLI,DF,Nantes,Ligue 1,28,78.75614442
Theodor Gebre Selassie,CZE,DF,Werder Bremen,Bundesliga,33,78.75348028
Luke Thomas,ENG,DF,Leicester City,Premier League,19,78.72016212
Dan Ndoye,SUI,FWMF,Nice,Ligue 1,19,78.68060742
Luca Netz,GER,DFMF,Hertha BSC,Bundesliga,17,78.66194714
