Rk,Player,Nation,Pos,Squad,Comp,Age,Born,SCA,SCA90,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef,Matches
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,FWDF,Strasbourg,fr Ligue 1,21,1999,0,0,0,0,0,0,0,0,0,0,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,1.32,1.32,0.15,0.15,0.1,0.05,0,0,0,0,Matches
3,Issah Abbas\Issah-Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,21,1998,0,0,0,0,0,0,0,0,0,0,Matches
4,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,0.34,0.34,0,0,0,0,0,0,0,0,Matches
5,Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,0,0,0,0,0,0,0,0,0,0,Matches
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,1.9,1.91,0.07,0.07,0.07,0,0,0,0,0,Matches
7,Laurent Abergel\Laurent-Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,1.7,1.7,0.3,0.3,0.18,0.03,0,0.03,0.03,0.03,Matches
8,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,20,2000,1.39,1.38,0.2,0.2,0.2,0,0,0,0,0,Matches
9,Matthis Abline\Matthis-Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0,0,0,0,0,0,0,0,0,0,Matches
10,Pape Abou Cisse\Pape-Abou-Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,0.5,0.5,0,0,0,0,0,0,0,0,Matches
11,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,0.15,0.15,0,0,0,0,0,0,0,0,Matches
12,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,1.55,1.56,0.17,0.17,0.09,0,0,0,0.09,0,Matches
13,Amir Abrashi\Amir-Abrashi,al ALB,MFDF,Freiburg,de Bundesliga,30,1990,0,0,0,0,0,0,0,0,0,0,Matches
14,Gennaro Acampora\Gennaro-Acampora,it ITA,MFFW,Spezia,it Serie A,26,1994,1.22,1.22,0,0,0,0,0,0,0,0,Matches
15,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,1.02,1.02,0.13,0.13,0.13,0,0,0,0,0,Matches
16,Ragnar Ache\Ragnar-Ache,de GER,FWDF,Eint Frankfurt,de Bundesliga,22,1998,0,0,0,0,0,0,0,0,0,0,Matches
17,Marcos Acuña\Marcos-Acuna,ar ARG,DF,Sevilla,es La Liga,28,1991,2.24,2.24,0.15,0.15,0.08,0.04,0,0.04,0,0,Matches
18,Che Adams\Che-Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,2.23,2.23,0.27,0.27,0.24,0,0,0,0.03,0,Matches
19,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,21,1999,1.31,1.31,0.15,0.15,0.1,0,0,0,0,0.05,Matches
20,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27,1993,4.15,4.13,1.13,1.13,0.57,0,0,0.38,0.19,0,Matches
21,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,0.52,0.52,0.03,0.03,0.03,0,0,0,0,0,Matches
22,Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,es La Liga,21,1999,0,0,0,0,0,0,0,0,0,0,Matches
23,Yacine Adli\Yacine-Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,3.42,3.42,0.3,0.3,0.22,0.04,0,0.04,0,0,Matches
24,Andrea Adorante\Andrea-Adorante,it ITA,FW,Parma,it Serie A,20,2000,0,0,0,0,0,0,0,0,0,0,Matches
25,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,33,1987,0,0,0,0,0,0,0,0,0,0,Matches
26,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,es La Liga,24,1996,1.33,1.33,0.17,0.17,0.12,0.06,0,0,0,0,Matches
27,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,0.67,0.68,0.22,0.23,0.22,0,0,0,0,0,Matches
28,Felix Agu\Felix-Agu,de GER,DFFW,Werder Bremen,de Bundesliga,20,1999,0.77,0.77,0.13,0.13,0.13,0,0,0,0,0,Matches
29,Kevin Agudelo\Kevin-Agudelo,co COL,FW,Spezia,it Serie A,21,1998,2.32,2.32,0.26,0.27,0.2,0,0,0.07,0,0,Matches
30,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,0.4,0.4,0.03,0.03,0.03,0,0,0,0,0,Matches
31,Sergio Agüero\Sergio-Aguero,ar ARG,FWMF,Manchester City,eng Premier League,32,1988,2.58,2.58,0.48,0.48,0.32,0,0.16,0,0,0,Matches
32,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFFW,Monaco,fr Ligue 1,27,1993,2.91,2.91,0.32,0.32,0.24,0,0.04,0,0.04,0,Matches
33,Naouirou Ahamada\Naouirou-Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,0.71,0.71,0,0,0,0,0,0,0,0,Matches
34,Matteo Ahlinvi\Matteo-Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,1,1,0,0,0,0,0,0,0,0,Matches
35,Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,sn SEN,FWDF,Marseille,fr Ligue 1,20,2000,0.71,0.7,0.71,0.7,0,0,0,0,0.71,0,Matches
36,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26,1994,1.05,1.05,0.17,0.17,0.08,0,0,0.04,0,0.04,Matches
37,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,1994,2.5,2.5,0,0,0,0,0,0,0,0,Matches
38,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,0.7,0.7,0.14,0.14,0.14,0,0,0,0,0,Matches
39,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,0.88,0.88,0.14,0.14,0.14,0,0,0,0,0,Matches
40,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,eng Premier League,19,2001,1.92,1.92,0.13,0.13,0.06,0,0.06,0,0,0,Matches
41,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,19,2001,3.81,3.85,0.95,0.96,0.48,0,0.48,0,0,0,Matches
42,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,0.45,0.45,0.1,0.1,0.06,0,0,0.03,0,0,Matches
43,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,26,1994,2.06,2.06,0.24,0.24,0.12,0,0.03,0.03,0.06,0,Matches
44,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,0.57,0.57,0.04,0.04,0.04,0,0,0,0,0,Matches
45,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,0.52,0.52,0,0,0,0,0,0,0,0,Matches
46,Marley Aké\Marley-Ake,fr FRA,FW,Marseille,fr Ligue 1,19,2001,0.63,0.62,0,0,0,0,0,0,0,0,Matches
47,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,eng Premier League,25,1995,0.34,0.34,0,0,0,0,0,0,0,0,Matches
48,Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,es La Liga,22,1997,1.19,1.19,0,0,0,0,0,0,0,0,Matches
49,Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,27,1992,1.62,1.62,0.09,0.09,0.09,0,0,0,0,0,Matches
50,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,0.38,0.38,0.08,0.08,0.08,0,0,0,0,0,Matches
51,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28,1992,1.65,1.65,0.2,0.2,0.17,0.03,0,0,0,0,Matches
52,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,22,1998,0.96,0.96,0.18,0.18,0.12,0,0,0,0.06,0,Matches
53,Jony Álamo\Jony-Alamo,es ESP,MF,Elche,es La Liga,18,2001,1.25,1.23,1.25,1.23,1.25,0,0,0,0,0,Matches
54,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,27,1992,1.96,1.95,0.22,0.22,0.14,0,0,0.07,0,0,Matches
55,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,31,1989,2.56,2.56,0.27,0.27,0.27,0,0,0,0,0,Matches
56,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,27,1992,4.95,4.95,0.17,0.17,0.14,0,0.03,0,0,0,Matches
57,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,0.4,0.4,0.06,0.06,0.06,0,0,0,0,0,Matches
58,Marc Albrighton\Marc-Albrighton,eng ENG,DFFW,Leicester City,eng Premier League,30,1989,3.66,3.66,0.57,0.57,0.36,0.1,0,0.05,0,0.05,Matches
59,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,26,1993,1.63,1.63,0.52,0.52,0.35,0,0.06,0.12,0,0,Matches
60,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,es La Liga,31,1989,0,0,0,0,0,0,0,0,0,0,Matches
61,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,eng Premier League,29,1991,2.96,2.96,0.1,0.1,0.1,0,0,0,0,0,Matches
62,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,29,1991,0.91,0.91,0.08,0.08,0.08,0,0,0,0,0,Matches
63,Omar Alderete\Omar-Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,0.49,0.48,0,0,0,0,0,0,0,0,Matches
64,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,1989,0.76,0.76,0.12,0.12,0.12,0,0,0,0,0,Matches
65,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,es La Liga,25,1995,2.17,2.18,0.22,0.22,0.11,0,0,0.11,0,0,Matches
66,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,22,1998,0,0,0,0,0,0,0,0,0,0,Matches
67,Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,es La Liga,22,1998,3.75,3.76,0.13,0.13,0.13,0,0,0,0,0,Matches
68,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,eng Premier League,25,1995,0,0,0,0,0,0,0,0,0,0,Matches
