Rk,Player,Nation,Pos,Squad,Comp,Age,Born,CmpPass,AttPass,CmpPass%,TotDistPass,PrgDistPass,A-xA,KP,PassFinalThird,PPA,CrsPA,Prog,Matches
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,FWDF,Strasbourg,fr Ligue 1,21,1999,20,20,100,570,150,0,0,0,0,0,0,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,45.1,57.2,78.9,756.8,352.6,0.01,0.56,3.45,1.32,0.2,5.69,Matches
3,Issah Abbas\Issah-Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,21,1998,65,75,86.7,1300,530,0,0,5,0,0,5,Matches
4,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,46.9,53.4,87.8,1049.7,361.9,-0.01,0.12,2.52,0.03,0,2.83,Matches
5,Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,10,17.1,58.3,190,12.9,0,0,0,1.43,0,1.43,Matches
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,41.9,49.3,85,829.5,200.7,-0.05,0.82,4.08,0.48,0.27,2.86,Matches
7,Laurent Abergel\Laurent-Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,40.4,48.4,83.5,785.2,198.1,-0.01,0.64,3.43,0.52,0.12,3.37,Matches
8,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,20,2000,14.3,21.2,67.3,188,33.1,0.17,0.79,0.89,0.5,0,1.09,Matches
9,Matthis Abline\Matthis-Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0,1,0,0,0,0,0,0,0,0,0,Matches
10,Pape Abou Cisse\Pape-Abou-Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,36.1,44.6,80.9,870.6,313.6,-0.01,0.21,2.14,0.14,0,2.21,Matches
11,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,41.5,50.7,81.9,888,312.8,-0.04,0.15,3.68,0.22,0.15,3.16,Matches
12,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,12.8,18.8,68.3,177.3,28.2,0.01,0.69,1.03,0.17,0,0.95,Matches
13,Amir Abrashi\Amir-Abrashi,al ALB,MFDF,Freiburg,de Bundesliga,30,1990,25.7,31.4,81.8,421.4,38.6,0,0,1.43,0,0,0,Matches
14,Gennaro Acampora\Gennaro-Acampora,it ITA,MFFW,Spezia,it Serie A,26,1994,38.6,45.9,84,782.4,127.6,0,0.2,2.86,0.61,0.2,3.27,Matches
