Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Touches,Live,SuccDrib,AttDrib,SuccDrib%,#Pl,Megs,Carries,TotDistCarry,PrgDistCarry,ProgCarry,CarryToThird,CarryToBox,Matches
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,FWDF,Strasbourg,fr Ligue 1,21,1999,40,40,0,0,,0,0,20,100,40,0,0,0,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,67.2,57.2,0.46,1.07,42.9,0.46,0,37.2,178.8,96.8,5.79,1.52,0.46,Matches
3,Issah Abbas\Issah-Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,21,1998,90,75,5,10,50,10,0,55,235,200,10,5,0,Matches
4,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,65,63.2,0.37,0.62,60,0.4,0.03,41.7,235.5,130.5,1.81,0.25,0.03,Matches
5,Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,24.3,24.3,1.43,4.29,33.3,1.43,0,15.7,65.7,31.4,1.43,1.43,0,Matches
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,59.3,56.1,1.56,2.18,71.9,1.56,0,40.5,237.1,114.9,4.08,1.5,0.07,Matches
7,Laurent Abergel\Laurent-Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,60,58.7,0.67,0.94,71,0.67,0,41.4,176.1,87.9,3.25,1.03,0.09,Matches
8,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,20,2000,34.2,32.7,1.19,2.67,44.4,1.39,0,20.7,95.8,49.9,2.67,1.09,0.4,Matches
9,Matthis Abline\Matthis-Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,1,1,1,1,100,1,0,2,7,3,0,0,0,Matches
10,Pape Abou Cisse\Pape-Abou-Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,61.1,59.3,0.36,0.43,83.3,0.36,0,32.6,215.2,117.9,1.14,0.07,0,Matches
11,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,58.3,54.3,0.22,0.44,50,0.29,0,32,169.9,92.7,3.24,0.66,0,Matches
12,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,30.7,29.9,0.52,1.64,31.6,0.52,0.17,15.3,61.1,21.7,1.12,0.43,0.34,Matches
13,Amir Abrashi\Amir-Abrashi,al ALB,MFDF,Freiburg,de Bundesliga,30,1990,44.3,44.3,0,0,,0,0,20,80,41.4,0,0,0,Matches
14,Gennaro Acampora\Gennaro-Acampora,it ITA,MFFW,Spezia,it Serie A,26,1994,59.2,58.4,1.02,2.45,41.7,1.43,0.2,44.7,292.2,122.7,5.71,2.86,0.2,Matches
15,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,76.1,72.8,0.35,0.38,91.7,0.35,0,46.3,313.5,166.4,3.71,1.02,0.03,Matches
